question_id,question_text,sub_text,type,options
1,Apa Hobi mu?,pilih maksimal 3 hobi,multiple,"Membaca & Menulis,Olahraga,Koding,Seni & Desain,Bisnis,Musik,Fotografi,Traveling,Memasak,Gaming"
2,Bagaimana Caramu Belajar?,pilih cara belajar yang paling kamu sukai,single,"Visual dan Media Interaktif,Mendengarkan Penjelasan,Praktik Langsung,Diskusi Kelompok"
